bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.10512820512820513, 12.0
2,0, 0, 0, 0.125, 7.0
3,1, 1, 1, 1.0, 0.0
4,0, 0, 0, 0.085964912280701744, 15.0
5,0, 1, 1, 0.5, 1.0
6,0, 0, 0, 0.022337213057825798, 31.0
7,0, 0, 0, 0.013888888888888888, 68.0
8,0, 1, 1, 0.5, 1.0
9,0, 1, 1, 0.33333333333333331, 1.0
10,1, 1, 1, 1.0, 0.0
11,0, 0, 0, 0.071428571428571425, 13.0
14,0, 0, 0, 0.028190743338008414, 26.0
15,1, 1, 1, 1.0, 0.0
16,1, 1, 1, 0.52083333333333337, 0.0
17,0, 1, 1, 0.5, 0.0
18,0, 0, 0, 0.10846560846560846, 73.0
19,0, 0, 0, 0.014285714285714285, 67.0
20,0, 0, 0, 0.041666666666666664, 73.0
21,0, 0, 0, 0.043478260869565216, 25.0
22,0, 1, 1, 0.41666666666666663, 6.0
23,0, 0, 0, 0.020408163265306121, 39.0
24,0, 0, 0, 0.02, 39.0
25,0, 1, 1, 0.33333333333333331, 2.0
26,0, 0, 0, 0.1111111111111111, 8.0
27,1, 1, 1, 1.0, 0.0
28,0, 0, 0, 0.033333333333333333, 26.0
29,0, 0, 0, 0.036109303838646717, 28.0
30,0, 0, 1, 0.25, 13.0
31,0, 0, 0, 0.055555555555555552, 12.0
32,0, 0, 0, 0.0045045045045045045, 134.0
33,0, 0, 0, 0.058823529411764705, 17.0
34,1, 1, 1, 1.0, 0.0
35,1, 1, 1, 0.83333333333333326, 0.0
36,0, 0, 1, 0.29166666666666663, 3.0
37,0, 0, 0, 0.072619047619047611, 19.0
38,0, 0, 0, 0.047619047619047616, 20.0
39,0, 0, 0, 0.017241379310344827, 50.0
40,0, 0, 0, 0.030303030303030304, 30.0
41,0, 0, 1, 0.20000000000000001, 3.0
42,0, 0, 0, 0.14285714285714285, 8.0
43,0, 0, 0, 0.076923076923076927, 20.0
44,0, 0, 0, 0.015384615384615385, 42.0
45,1, 1, 1, 1.0, 0.0
46,0, 0, 0, 0.022727272727272728, 53.0
47,0, 1, 1, 0.3122605363984674, 1.0
48,0, 0, 0, 0.021276595744680851, 48.0
49,0, 1, 1, 0.17507002801120447, 2.0
50,0, 0, 0, 0.022727272727272728, 37.0
51,0, 0, 0, 0.021276595744680851, 48.0
52,0, 1, 1, 0.5, 2.0
53,1, 1, 1, 1.0, 0.0
54,0, 1, 1, 0.33333333333333331, 2.0
55,1, 1, 1, 1.0, 0.0
56,0, 0, 0, 0.043478260869565216, 19.0
57,0, 0, 0, 0.125, 10.0
58,0, 0, 0, 0.012500000000000001, 73.0
59,1, 1, 1, 1.0, 0.0
60,0, 0, 0, 0.038461538461538464, 25.0
61,0, 0, 0, 0.1111111111111111, 11.0
62,0, 0, 0, 0.036240786240786242, 34.0
63,0, 1, 1, 0.5, 0.0
64,0, 0, 0, 0.038461538461538464, 21.0
65,0, 1, 1, 0.19105691056910568, 1.0
66,0, 0, 1, 0.14471153846153847, 12.0
67,0, 1, 1, 0.33333333333333331, 7.0
68,0, 0, 0, 0.095833333333333326, 19.0
69,0, 0, 0, 0.125, 6.0
70,1, 1, 1, 1.0, 0.0
71,0, 0, 0, 0.023958333333333331, 60.0
72,0, 1, 1, 0.5, 1.0
73,0, 0, 1, 0.20000000000000001, 2.0
74,0, 0, 0, 0.0063291139240506328, 155.0
75,1, 1, 1, 1.0, 0.0
76,0, 0, 0, 0.040064102564102561, 30.0
77,0, 1, 1, 0.45000000000000001, 2.0
78,0, 0, 0, 0.043478260869565216, 23.0
79,0, 0, 0, 0.1111111111111111, 5.0
80,0, 0, 0, 0.037037037037037035, 24.0
81,0, 0, 0, 0.15079365079365081, 6.0
82,0, 0, 0, 0.018867924528301886, 38.0
83,0, 1, 1, 0.27000000000000002, 5.0
84,1, 1, 1, 1.0, 3.0
85,0, 0, 0, 0.10000000000000001, 8.0
86,0, 0, 0, 0.1111111111111111, 7.0
87,0, 0, 0, 0.019230769230769232, 37.0
88,0, 0, 0, 0.14285714285714285, 3.0
89,1, 1, 1, 1.0, 0.0
90,1, 1, 1, 1.0, 0.0
91,1, 1, 1, 1.0, 0.0
92,0, 1, 1, 0.41111111111111115, 2.0
93,0, 1, 1, 0.63888888888888884, 1.0
94,1, 1, 1, 1.0, 0.0
95,0, 1, 1, 0.5, 2.0
96,0, 1, 1, 0.33333333333333331, 2.0
97,0, 0, 0, 0.125, 7.0
98,1, 1, 1, 1.0, 0.0
99,1, 1, 1, 1.0, 0.0
100,0, 1, 1, 0.33333333333333331, 1.0
101,0, 0, 1, 0.25, 3.0
102,0, 1, 1, 0.33333333333333331, 1.0
103,0, 0, 0, 0.125, 7.0
105,1, 1, 1, 1.0, 1.0
106,0, 1, 1, 0.33333333333333331, 3.0
